Search,ID,Name,City,RoomAndPropertyType,RoomType,RoomTypeCategory,SpaceType,Link,Nightly Cost,Total Cost,BathroomLabel,Bathrooms,BedLabel,BedroomLabel,Bedrooms,Beds,ApproxLat,ApproxLong,Lockbox,Heating,Air Conditioning,Free Parking on Premises,Free Street Parking,Wireless Internet
Melbourne City,2079904,MODERN 1-BR APT - 5★ REVIEWS + SUPERB VIEW,Melbourne,Entire apartment,Entire home/apt,entire_home,Entire apartment,https://www.airbnb.com.au/rooms/2079904?guests=1&adults=1&children=0&infants=0&check_in=2019-05-01&check_out=2019-05-05,132.00,660.02,1 bath,1.000000,1 bed,1 bedroom,1,1,-37.816574,144.953247,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
Melbourne City,11230877,#5 StarRated# BEST CBD Location & CityView 2BR Apt,Melbourne,Entire apartment,Entire home/apt,entire_home,Entire apartment,https://www.airbnb.com.au/rooms/11230877?guests=1&adults=1&children=0&infants=0&check_in=2019-05-01&check_out=2019-05-05,153.25,768.50,1 bath,1.000000,3 beds,2 bedrooms,2,3,-37.809730,144.961320,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
Melbourne City,14096409,Comfortable Studio Apartment near Parliament House,Melbourne,Entire apartment,Entire home/apt,entire_home,Entire apartment,https://www.airbnb.com.au/rooms/14096409?guests=1&adults=1&children=0&infants=0&check_in=2019-05-01&check_out=2019-05-05,145.00,719.40,1 bath,1.000000,1 bed,Studio,0,1,-37.811459,144.971695,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
Melbourne City,14220803,A Cozy CBD Suite Near Southern Cross + Pool & Gym,Melbourne,Entire apartment,Entire home/apt,entire_home,Entire apartment,https://www.airbnb.com.au/rooms/14220803?guests=1&adults=1&children=0&infants=0&check_in=2019-05-01&check_out=2019-05-05,136.50,702.27,1 bath,1.000000,2 beds,1 bedroom,1,2,-37.816420,144.953500,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
Melbourne City,8447443,Luxury Top Floor #1 ~2bdm CBD ((Wi-Fi & Car Park)),Melbourne,Entire serviced apartment,Entire home/apt,entire_home,Entire serviced apartment,https://www.airbnb.com.au/rooms/8447443?guests=1&adults=1&children=0&infants=0&check_in=2019-05-01&check_out=2019-05-05,142.00,727.39,1 bath,1.000000,4 beds,2 bedrooms,2,4,-37.815520,144.955270,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
Melbourne City,14861568,Downtown City Apartment by Hosier Lane,Melbourne,Entire apartment,Entire home/apt,entire_home,Entire apartment,https://www.airbnb.com.au/rooms/14861568?guests=1&adults=1&children=0&infants=0&check_in=2019-05-01&check_out=2019-05-05,250.00,1256.09,1 bath,1.000000,4 beds,3 bedrooms,3,4,-37.816757,144.969116,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Melbourne City,20561482,Apartment 1707,Melbourne,Private room in apartment,Private room,private_room,Private room,https://www.airbnb.com.au/rooms/20561482?guests=1&adults=1&children=0&infants=0&check_in=2019-05-01&check_out=2019-05-05,71.31,318.96,1 shared bath,1.000000,1 bed,1 bedroom,1,1,-37.811630,144.961160,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
Melbourne City,933044,"Spacious, Bright Apartment in CBD",Melbourne,Entire apartment,Entire home/apt,entire_home,Entire apartment,https://www.airbnb.com.au/rooms/933044?guests=1&adults=1&children=0&infants=0&check_in=2019-05-01&check_out=2019-05-05,190.00,936.36,1 bath,1.000000,1 bed,1 bedroom,1,1,-37.814550,144.962670,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
Melbourne City,20792711,"Private room apt, CBD free tram zone'",Melbourne,Private room in apartment,Private room,private_room,Private room,https://www.airbnb.com.au/rooms/20792711?guests=1&adults=1&children=0&infants=0&check_in=2019-05-01&check_out=2019-05-05,81.50,395.09,1 private bath,1.000000,1 bed,1 bedroom,1,1,-37.815990,144.953860,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
Melbourne City,20131690,07 - 1810LH · Room Seven Flamingo Arty Feels at a Central Pad,Melbourne,Entire apartment,Entire home/apt,entire_home,Entire apartment,https://www.airbnb.com.au/rooms/20131690?guests=1&adults=1&children=0&infants=0&check_in=2019-05-01&check_out=2019-05-05,204.00,1022.01,1 bath,1.000000,2 beds,2 bedrooms,2,2,-37.808369,144.960876,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
Melbourne City,13105095,Magnificent View 1 Bedroom CBD Apartment,Melbourne,Entire apartment,Entire home/apt,entire_home,Entire apartment,https://www.airbnb.com.au/rooms/13105095?guests=1&adults=1&children=0&infants=0&check_in=2019-05-01&check_out=2019-05-05,117.00,608.64,1 bath,1.000000,2 beds,1 bedroom,1,2,-37.815708,144.953033,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
Melbourne City,20777618,FREE PARKING - Gorgeous Cozy Midtown Apartment,Melbourne,Entire apartment,Entire home/apt,entire_home,Entire apartment,https://www.airbnb.com.au/rooms/20777618?guests=1&adults=1&children=0&infants=0&check_in=2019-05-01&check_out=2019-05-05,158.50,802.76,1 bath,1.000000,2 beds,1 bedroom,1,2,-37.814850,144.953812,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
Melbourne City,20787600,Cozy City Studio Heart of Melbourne,Melbourne,Entire apartment,Entire home/apt,entire_home,Entire apartment,https://www.airbnb.com.au/rooms/20787600?guests=1&adults=1&children=0&infants=0&check_in=2019-05-01&check_out=2019-05-05,109.00,566.38,1 bath,1.000000,1 bed,Studio,0,1,-37.818600,144.965100,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
Melbourne City,10714041,*NEW Boutique Perfectly Central Apt,Melbourne,Entire apartment,Entire home/apt,entire_home,Entire apartment,https://www.airbnb.com.au/rooms/10714041?guests=1&adults=1&children=0&infants=0&check_in=2019-05-01&check_out=2019-05-05,177.50,856.43,1 bath,1.000000,1 bed,1 bedroom,1,1,-37.817080,144.970220,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
Melbourne City,21517661,Vivid Centre City Living*Free Parking*2 Bedrooms,Melbourne,Entire apartment,Entire home/apt,entire_home,Entire apartment,https://www.airbnb.com.au/rooms/21517661?guests=1&adults=1&children=0&infants=0&check_in=2019-05-01&check_out=2019-05-05,129.75,671.44,1 bath,1.000000,2 beds,2 bedrooms,2,2,-37.808510,144.962890,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
Melbourne City,1652186,Charming Large Apartment Best City Location,Melbourne,Entire apartment,Entire home/apt,entire_home,Entire apartment,https://www.airbnb.com.au/rooms/1652186?guests=1&adults=1&children=0&infants=0&check_in=2019-05-01&check_out=2019-05-05,222.00,1088.23,1 bath,1.000000,5 beds,2 bedrooms,2,5,-37.816250,144.968810,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Melbourne City,15919556,The Westside 2 bd 2 bath apt in Melb CBD GYM POOL,Melbourne,Entire apartment,Entire home/apt,entire_home,Entire apartment,https://www.airbnb.com.au/rooms/15919556?guests=1&adults=1&children=0&infants=0&check_in=2019-05-01&check_out=2019-05-05,174.50,864.42,2 baths,2.000000,3 beds,2 bedrooms,2,3,-37.815685,144.952881,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
Melbourne City,22477159,Top Floor Suite with Panoramic Views,Melbourne,Entire apartment,Entire home/apt,entire_home,Entire apartment,https://www.airbnb.com.au/rooms/22477159?guests=1&adults=1&children=0&infants=0&check_in=2019-05-01&check_out=2019-05-05,147.50,742.24,1 bath,1.000000,2 beds,1 bedroom,1,2,-37.808900,144.960720,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
Melbourne City,9656450,A Cozy CBD Suite on Collins St Near Southern Cross,Melbourne,Entire apartment,Entire home/apt,entire_home,Entire apartment,https://www.airbnb.com.au/rooms/9656450?guests=1&adults=1&children=0&infants=0&check_in=2019-05-01&check_out=2019-05-05,126.50,668.02,1 bath,1.000000,2 beds,1 bedroom,1,2,-37.817450,144.954330,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
Melbourne City,25380740,Cozy&Luxury 2 Bedroom Apartment Inner CBD,Melbourne,Entire apartment,Entire home/apt,entire_home,Entire apartment,https://www.airbnb.com.au/rooms/25380740?guests=1&adults=1&children=0&infants=0&check_in=2019-05-01&check_out=2019-05-05,129.50,637.18,1 bath,1.000000,4 beds,2 bedrooms,2,4,-37.815760,144.954730,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
Melbourne City,11877693,Cozy Chic Apt In The Heart of Melb,Melbourne,Entire apartment,Entire home/apt,entire_home,Entire apartment,https://www.airbnb.com.au/rooms/11877693?guests=1&adults=1&children=0&infants=0&check_in=2019-05-01&check_out=2019-05-05,145.00,741.09,1 bath,1.000000,2 beds,1 bedroom,1,2,-37.818367,144.955429,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
Melbourne City,13649689,☀Luxury Living With a View☀,Carlton,Entire apartment,Entire home/apt,entire_home,Entire apartment,https://www.airbnb.com.au/rooms/13649689?guests=1&adults=1&children=0&infants=0&check_in=2019-05-01&check_out=2019-05-05,123.50,654.31,1 bath,1.000000,2 beds,1 bedroom,1,2,-37.805330,144.963420,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
Melbourne City,14834055,Luxury Top Floor #2 ~ 2bdm CBD ((Wifi & Car Park)),Melbourne,Entire apartment,Entire home/apt,entire_home,Entire apartment,https://www.airbnb.com.au/rooms/14834055?guests=1&adults=1&children=0&infants=0&check_in=2019-05-01&check_out=2019-05-05,169.00,850.72,1 bath,1.000000,2 beds,2 bedrooms,2,2,-37.814490,144.953140,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
Melbourne City,14349785,High Up CBD 1 bedroom Apt opposite skybus!,Melbourne,Entire apartment,Entire home/apt,entire_home,Entire apartment,https://www.airbnb.com.au/rooms/14349785?guests=1&adults=1&children=0&infants=0&check_in=2019-05-01&check_out=2019-05-05,215.00,982.03,1 bath,1.000000,2 beds,1 bedroom,1,2,-37.815950,144.952370,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
Melbourne City,23652071,❤ Water View @ Southbank ❤ 1BR+PARKING+WIFI,Southbank,Entire apartment,Entire home/apt,entire_home,Entire apartment,https://www.airbnb.com.au/rooms/23652071?guests=1&adults=1&children=0&infants=0&check_in=2019-05-01&check_out=2019-05-05,129.00,663.45,1 bath,1.000000,1 bed,1 bedroom,1,1,-37.821090,144.965230,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
Melbourne City,11997917,Designer City Heritage Apartment,Melbourne,Entire apartment,Entire home/apt,entire_home,Entire apartment,https://www.airbnb.com.au/rooms/11997917?guests=1&adults=1&children=0&infants=0&check_in=2019-05-01&check_out=2019-05-05,155.00,790.20,1 bath,1.000000,1 bed,1 bedroom,1,1,-37.816840,144.961360,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
Melbourne City,22238000,Stylish Two-Story Loft in the Best Location in Melbourne,Melbourne,Entire loft,Entire home/apt,entire_home,Entire loft,https://www.airbnb.com.au/rooms/22238000?guests=1&adults=1&children=0&infants=0&check_in=2019-05-01&check_out=2019-05-05,149.00,766.22,1 bath,1.000000,1 bed,1 bedroom,1,1,-37.818070,144.965590,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
Melbourne City,10668850,"Cozy, RELAXING CBD Suites + POOL, GYM & FREE WiFi",Melbourne,Entire apartment,Entire home/apt,entire_home,Entire apartment,https://www.airbnb.com.au/rooms/10668850?guests=1&adults=1&children=0&infants=0&check_in=2019-05-01&check_out=2019-05-05,146.50,742.24,1 bath,1.000000,2 beds,1 bedroom,1,2,-37.814170,144.956640,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
Melbourne City,15028580,Luxury Apartment & Free Parking! Perfect location!,Carlton,Entire apartment,Entire home/apt,entire_home,Entire apartment,https://www.airbnb.com.au/rooms/15028580?guests=1&adults=1&children=0&infants=0&check_in=2019-05-01&check_out=2019-05-05,142.50,736.53,1 bath,1.000000,2 beds,1 bedroom,1,2,-37.808530,144.960320,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
